Week,can you freeze: (United States)
9/1/2019,19
9/8/2019,20
9/15/2019,19
9/22/2019,19
9/29/2019,20
10/6/2019,21
10/13/2019,19
10/20/2019,19
10/27/2019,19
11/3/2019,21
11/10/2019,24
11/17/2019,26
11/24/2019,33
12/1/2019,23
12/8/2019,24
12/15/2019,24
12/22/2019,29
12/29/2019,27
1/5/2020,19
1/12/2020,20
1/19/2020,20
1/26/2020,18
2/2/2020,19
2/9/2020,18
2/16/2020,18
2/23/2020,21
3/1/2020,24
3/8/2020,49
3/15/2020,100
3/22/2020,63
3/29/2020,55
4/5/2020,54
4/12/2020,46
4/19/2020,40
4/26/2020,37
5/3/2020,35
